2023-03-17 23:35:26,443 INFO    MainThread:1078738 [wandb_setup.py:_flush():76] Configure stats pid to 1078738
2023-03-17 23:35:26,444 INFO    MainThread:1078738 [wandb_setup.py:_flush():76] Loading settings from /home/tonydeleon/.config/wandb/settings
2023-03-17 23:35:26,444 INFO    MainThread:1078738 [wandb_setup.py:_flush():76] Loading settings from /home/tonydeleon/sp23-nmep-hw1/wandb/settings
2023-03-17 23:35:26,444 INFO    MainThread:1078738 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-17 23:35:26,444 INFO    MainThread:1078738 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-17 23:35:26,444 INFO    MainThread:1078738 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-17 23:35:26,444 INFO    MainThread:1078738 [wandb_init.py:_log_setup():506] Logging user logs to /home/tonydeleon/sp23-nmep-hw1/wandb/run-20230317_233526-jv3ls0xa/logs/debug.log
2023-03-17 23:35:26,444 INFO    MainThread:1078738 [wandb_init.py:_log_setup():507] Logging internal logs to /home/tonydeleon/sp23-nmep-hw1/wandb/run-20230317_233526-jv3ls0xa/logs/debug-internal.log
2023-03-17 23:35:26,445 INFO    MainThread:1078738 [wandb_init.py:init():546] calling init triggers
2023-03-17 23:35:26,445 INFO    MainThread:1078738 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-17 23:35:26,445 INFO    MainThread:1078738 [wandb_init.py:init():602] starting backend
2023-03-17 23:35:26,445 INFO    MainThread:1078738 [wandb_init.py:init():606] setting up manager
2023-03-17 23:35:26,449 INFO    MainThread:1078738 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-17 23:35:26,451 INFO    MainThread:1078738 [wandb_init.py:init():613] backend started and connected
2023-03-17 23:35:26,453 INFO    MainThread:1078738 [wandb_init.py:init():701] updated telemetry
2023-03-17 23:35:26,460 INFO    MainThread:1078738 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-17 23:35:26,754 INFO    MainThread:1078738 [wandb_run.py:_on_init():2133] communicating current version
2023-03-17 23:35:26,800 INFO    MainThread:1078738 [wandb_run.py:_on_init():2142] got version response 
2023-03-17 23:35:26,800 INFO    MainThread:1078738 [wandb_init.py:init():789] starting run threads in backend
2023-03-17 23:35:28,733 INFO    MainThread:1078738 [wandb_run.py:_console_start():2114] atexit reg
2023-03-17 23:35:28,734 INFO    MainThread:1078738 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-17 23:35:28,734 INFO    MainThread:1078738 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-17 23:35:28,734 INFO    MainThread:1078738 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-17 23:35:28,734 INFO    MainThread:1078738 [wandb_init.py:init():831] run started, returning control to user process
2023-03-17 23:39:24,725 INFO    MainThread:1078738 [wandb_config.py:__setitem__():152] config set dropout = 0.2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f2e4ad73fd0>>
2023-03-17 23:39:24,725 INFO    MainThread:1078738 [wandb_run.py:_config_callback():1251] config_cb dropout 0.2 None
